datetime,true_high,true_low,y_hat_high,y_hat_low
2010-07-30 13:30:00,4.244123,4.083293,4.05925744318629,3.927125218303533
2010-09-01 13:30:00,3.826628,3.718296,3.9506358896016183,3.7373052386425787
2010-09-03 13:30:00,3.932461,3.828295,4.05925744318629,3.9972664209266178
2010-09-24 13:30:00,4.477455,4.385798,4.550405861194907,4.316634854704344
2011-03-15 13:30:00,6.295687,5.819942,6.1740199669374,5.980000018404117
2011-03-17 13:30:00,6.3949370000000005,6.195772,6.210409935168039,5.857144911428364
2011-05-23 13:30:00,6.956597,6.789932,7.2161526921842025,6.6624448449380385
2011-08-08 13:30:00,4.555788,3.781629,4.276523670327549,3.670482568353879
2011-09-02 13:30:00,4.362457,4.04996,4.522303797509924,4.406944231956819
2011-09-30 13:30:00,3.9457949999999995,3.5032970000000003,4.019357314693226,3.7608692345148813
2011-10-26 13:30:00,5.686611,5.337447,5.101337319995836,4.942134012658622
2011-11-09 14:30:00,5.04745,4.8132839999999995,5.095177199338999,4.935836216077023
2011-11-10 14:30:00,5.28578,5.134115,5.170032621906814,4.914106542176029
2011-11-11 14:30:00,5.217448,5.03745,5.4403054621888804,5.223302513993988
2011-11-16 14:30:00,4.946951,4.597854,5.122249640960733,4.919884540856571
2011-12-05 14:30:00,5.228282,5.069116,5.147631208363336,4.894414799236827
2011-12-20 14:30:00,4.929951,4.732451999999999,5.042856459900672,4.828947196942745
2012-03-06 14:30:00,6.430769000000001,6.291604,7.121411915616391,6.547489250039333
2012-04-23 13:30:00,6.6891,6.564934,6.6876116215467265,6.483260027690131
2012-06-01 13:30:00,5.387445,5.166615,5.751701446769976,5.646411742158394
2012-06-25 13:30:00,5.854108,5.662443,6.176026605252484,5.762890605573587
2012-12-21 14:30:00,7.341594000000001,7.286594,7.639024770056296,7.5443722095671335
2013-04-05 13:30:00,9.6375,9.372503,9.256730784649202,9.010146750511183
2013-05-23 13:30:00,11.32,11.0475,11.654453199868554,10.963481196864379
2013-05-28 13:30:00,11.412498,11.115003,11.657957242349877,11.092566119303854
2013-09-16 13:30:00,12.4925,12.349998,12.548952403677255,12.272444390744825
2014-03-04 14:30:00,16.6465,16.485,15.858145534710937,14.555006244510718
2015-01-14 14:30:00,20.7625,19.8125,20.448703103349878,19.440590143313813
2015-01-27 14:30:00,21.4125,20.06,21.083217841835868,20.827336418671987
2015-07-09 13:30:00,22.58,22.12,22.053442851979096,21.85435099976526
2015-07-10 13:30:00,23.20925,22.8975,22.58323135544239,22.87856952374741
2015-08-25 13:30:00,18.145,16.485025,18.592902990618125,16.693963926505056
2015-08-27 13:30:00,19.5625,19.0075,18.978094233498105,17.666949088228225
2015-09-01 13:30:00,18.22,17.41,18.514710742773406,17.521688561631834
2015-10-02 13:30:00,19.21375,18.5425,18.487715790307057,17.254350486130452
2016-02-12 14:30:00,16.335,15.7975,15.830525564951438,14.932090887742644
2016-02-16 14:30:00,17.2475,16.6547,16.980168901921296,16.051007765330553
2016-06-24 13:30:00,19.72,18.8325,20.765825118398173,19.746722218868495
2016-06-28 13:30:00,21.2325,20.59,20.185397694285914,19.13667203813829
2017-12-13 14:30:00,43.96,43.16,44.353123230459275,41.48711458365576
2018-10-29 13:30:00,41.83,39.5801,42.09171858374476,39.47707309084647
2018-12-03 14:30:00,46.31,41.83,46.20269561359504,43.70954379443419
2019-01-02 14:30:00,32.2699,30.34,35.66155507794178,33.50592024996493
2019-01-04 14:30:00,35.02,33.32,35.905261554032926,33.44946233909142
2019-08-05 13:30:00,48.0954,46.2801,53.955088244323,50.54860414341828
2020-01-27 14:30:00,69.3515,67.3211,58.1258493046135,53.64735906901074
2020-02-27 14:30:00,50.26,44.61,58.63041488298385,51.45390132768291
2020-03-05 14:30:00,50.4,45.95,50.60669165997711,46.13520771256081
2020-03-09 13:30:00,44.0,37.75,38.67610314453382,31.975287984536635
2020-03-16 13:30:00,26.74,21.48,26.061784002538516,22.109247938442145
2020-03-18 13:30:00,23.8,19.9,23.869907328352554,18.473118124687126
2020-04-07 13:30:00,31.05,27.98,32.857959909672154,30.960110380777877
2020-04-21 13:30:00,32.51,31.18,33.094585406848395,30.92876299457603
2020-04-28 13:30:00,37.45,35.85,34.74367373359522,32.93305431760401
2020-05-07 13:30:00,36.5,35.44,35.74609188373252,33.990909944532156
2020-06-15 13:30:00,44.45,41.26,41.5873494484821,37.273817672012704
